report_id,reported_user_id,session_id,reason,timestamp
729bc90d-fd1a-48f4-b8d1-f32aff8057ce,a53eed3b-2c96-4288-8574-967fe59ed065,c907f32b-f8f6-4912-919c-a7fde4465f63,Harassment/Griefing,2026-01-07 19:26:10.724980
da529df0-1847-4d46-821f-0a75b8cc7ba5,a53eed3b-2c96-4288-8574-967fe59ed065,c907f32b-f8f6-4912-919c-a7fde4465f63,Harassment/Griefing,2026-01-07 19:27:02.724980
9bd95ad3-2a67-4153-92a6-99d16f9faa22,a53eed3b-2c96-4288-8574-967fe59ed065,c907f32b-f8f6-4912-919c-a7fde4465f63,Harassment/Griefing,2026-01-07 19:28:54.724980
84f8a2c5-7dd7-4ac7-a370-f6f94da1522f,a53eed3b-2c96-4288-8574-967fe59ed065,c907f32b-f8f6-4912-919c-a7fde4465f63,Harassment/Griefing,2026-01-07 19:31:18.724980
0bdff29a-660a-4f16-9fe8-f40c41466c35,a53eed3b-2c96-4288-8574-967fe59ed065,c907f32b-f8f6-4912-919c-a7fde4465f63,Harassment/Griefing,2026-01-07 19:32:26.724980
89fea203-fe94-4581-a005-ca9f857a2a94,a53eed3b-2c96-4288-8574-967fe59ed065,c907f32b-f8f6-4912-919c-a7fde4465f63,Harassment/Griefing,2026-01-07 19:35:51.724980
430dbcc3-fc7d-4703-a88d-24a9702cd673,a53eed3b-2c96-4288-8574-967fe59ed065,c907f32b-f8f6-4912-919c-a7fde4465f63,Harassment/Griefing,2026-01-07 19:36:21.724980
f83449a7-189a-416a-abde-dea0e6a3f159,a53eed3b-2c96-4288-8574-967fe59ed065,c907f32b-f8f6-4912-919c-a7fde4465f63,Harassment/Griefing,2026-01-07 19:39:09.724980
de2ffcf5-33f4-40ae-831c-5729c06989dc,a53eed3b-2c96-4288-8574-967fe59ed065,c907f32b-f8f6-4912-919c-a7fde4465f63,Harassment/Griefing,2026-01-07 19:40:03.724980
c6643d56-59c9-4b67-85a4-783cb7b82d34,a53eed3b-2c96-4288-8574-967fe59ed065,c907f32b-f8f6-4912-919c-a7fde4465f63,Harassment/Griefing,2026-01-07 19:41:47.724980
3c5d0e24-332e-4316-a3e4-0a3ffda0e1ab,a53eed3b-2c96-4288-8574-967fe59ed065,c907f32b-f8f6-4912-919c-a7fde4465f63,Harassment/Griefing,2026-01-07 19:43:38.724980
ee1f3862-caa6-4495-9f72-ddb4f9ce5dc2,a53eed3b-2c96-4288-8574-967fe59ed065,c907f32b-f8f6-4912-919c-a7fde4465f63,Harassment/Griefing,2026-01-07 19:44:27.724980
ca4b7cb9-88a1-482c-9afb-d9e670ebe1dd,6687291f-004c-4243-8e3b-9fc7f1ee9629,bb0e6590-5361-49f4-a50f-90b6103837d0,Harassment/Griefing,2026-01-08 05:31:10.724980
0173ea31-dd55-4845-8ef5-c8611fc5e8c8,6687291f-004c-4243-8e3b-9fc7f1ee9629,bb0e6590-5361-49f4-a50f-90b6103837d0,Harassment/Griefing,2026-01-08 05:34:06.724980
562d0ae7-137c-4799-a2ce-745fe24a3a82,6687291f-004c-4243-8e3b-9fc7f1ee9629,bb0e6590-5361-49f4-a50f-90b6103837d0,Harassment/Griefing,2026-01-08 05:34:00.724980
f94c7813-616c-4918-afcb-571c41a522c0,6687291f-004c-4243-8e3b-9fc7f1ee9629,bb0e6590-5361-49f4-a50f-90b6103837d0,Harassment/Griefing,2026-01-08 05:36:45.724980
12e062cc-ca61-4a09-ad47-791846528f5d,6687291f-004c-4243-8e3b-9fc7f1ee9629,bb0e6590-5361-49f4-a50f-90b6103837d0,Harassment/Griefing,2026-01-08 05:37:31.724980
55b2e38a-5393-40af-94ba-0a217c3bba13,6687291f-004c-4243-8e3b-9fc7f1ee9629,bb0e6590-5361-49f4-a50f-90b6103837d0,Harassment/Griefing,2026-01-08 05:41:52.724980
cd475afe-7b93-43b0-a20d-6aaf52d33e2c,6687291f-004c-4243-8e3b-9fc7f1ee9629,bb0e6590-5361-49f4-a50f-90b6103837d0,Harassment/Griefing,2026-01-08 05:42:21.724980
e3338843-814c-4660-b23d-83a2b480226f,6687291f-004c-4243-8e3b-9fc7f1ee9629,bb0e6590-5361-49f4-a50f-90b6103837d0,Harassment/Griefing,2026-01-08 05:42:21.724980
e602273e-e6ce-4e5f-be46-b7edcff3b491,6687291f-004c-4243-8e3b-9fc7f1ee9629,bb0e6590-5361-49f4-a50f-90b6103837d0,Harassment/Griefing,2026-01-08 05:42:34.724980
e6139c3b-7454-415f-861d-097b6c43cf41,1b2cafb3-fb28-46d7-bea2-f9e649541380,d6ba6cc8-85bc-422c-968c-3f98a869cd9b,Harassment/Griefing,2026-01-08 07:58:47.724980
fe63fe99-6d52-47e9-8ee3-e7b20226bc29,1b2cafb3-fb28-46d7-bea2-f9e649541380,d6ba6cc8-85bc-422c-968c-3f98a869cd9b,Harassment/Griefing,2026-01-08 07:59:50.724980
